Name,Code,Type,Emp14,Emp24,Dist14,Dist24,ChgNum,ChgPerc,Openings
Architecture and engineering occupations,17-0000,Summary,2532.70,2599.90,1.70,1.60,67.20,2.70,710.90
"Architects, surveyors, and cartographers",17-1000,Summary,191.70,203.50,0.10,0.10,11.80,6.10,52.50
"Architects, except naval",17-1010,Summary,135.10,144.20,0.10,0.10,9.00,6.70,31.30
"Architects, except landscape and naval",17-1011,Line item,112.60,120.40,0.10,0.10,7.80,6.90,26.30
Landscape architects,17-1012,Line item,22.50,23.70,0.00,0.00,1.20,5.50,4.90
"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,56.60,59.30,0.00,0.00,2.70,4.80,21.20
Cartographers and photogrammetrists,17-1021,Line item,12.30,15.90,0.00,0.00,3.60,29.30,7.40
Surveyors,17-1022,Line item,44.30,43.40,0.00,0.00,-0.90,-2.00,13.70
Engineers,17-2000,Summary,1636.20,1701.20,1.10,1.10,65.00,4.00,510.90
Aerospace engineers,17-2011,Line item,72.50,70.80,0.00,0.00,-1.60,-2.30,20.70
Agricultural engineers,17-2021,Line item,2.90,3.00,0.00,0.00,0.10,4.40,0.70
Biomedical engineers,17-2031,Line item,22.10,27.20,0.00,0.00,5.10,23.10,10.90
Chemical engineers,17-2041,Line item,34.30,34.90,0.00,0.00,0.60,1.80,10.00
Civil engineers,17-2051,Line item,281.40,305.00,0.20,0.20,23.60,8.40,106.70
Computer hardware engineers,17-2061,Line item,77.70,80.10,0.10,0.00,2.40,3.10,18.40
Electrical and electronics engineers,17-2070,Summary,315.90,315.70,0.20,0.20,-0.10,0.00,71.40
Electrical engineers,17-2071,Line item,178.40,180.20,0.10,0.10,1.80,1.00,41.10
"Electronics engineers, except computer",17-2072,Line item,137.40,135.50,0.10,0.10,-1.90,-1.40,30.30
Environmental engineers,17-2081,Line item,55.10,62.00,0.00,0.00,6.80,12.40,22.40
"Industrial engineers, including health and safety",17-2110,Summary,266.30,270.00,0.20,0.20,3.70,1.40,81.80
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,25.20,26.80,0.00,0.00,1.60,6.20,9.00
Industrial engineers,17-2112,Line item,241.10,243.20,0.20,0.20,2.10,0.90,72.80
Marine engineers and naval architects,17-2121,Line item,8.30,9.00,0.00,0.00,0.70,8.90,2.90
Materials engineers,17-2131,Line item,25.30,25.60,0.00,0.00,0.30,1.30,9.20
Mechanical engineers,17-2141,Line item,277.50,292.10,0.20,0.20,14.60,5.30,102.50
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,8.30,8.80,0.00,0.00,0.50,6.40,2.70
Nuclear engineers,17-2161,Line item,16.80,16.20,0.00,0.00,-0.70,-4.00,4.40
Petroleum engineers,17-2171,Line item,35.10,38.50,0.00,0.00,3.40,9.80,13.00
"Engineers, all other",17-2199,Line item,136.90,142.30,0.10,0.10,5.50,4.00,33.00
"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,704.70,695.10,0.50,0.40,-9.60,-1.40,147.50
Drafters,17-3010,Summary,204.40,198.30,0.10,0.10,-6.20,-3.00,25.80
Architectural and civil drafters,17-3011,Line item,94.00,91.20,0.10,0.10,-2.80,-3.00,11.10
Electrical and electronics drafters,17-3012,Line item,30.10,31.70,0.00,0.00,1.60,5.40,5.20
Mechanical drafters,17-3013,Line item,65.70,61.20,0.00,0.00,-4.50,-6.80,7.80
"Drafters, all other",17-3019,Line item,14.70,14.20,0.00,0.00,-0.50,-3.40,1.70
"Engineering technicians, except drafters",17-3020,Summary,443.00,443.90,0.30,0.30,0.90,0.20,115.20
Aerospace engineering and operations technicians,17-3021,Line item,11.40,11.80,0.00,0.00,0.40,3.60,3.20
Civil engineering technicians,17-3022,Line item,74.00,77.60,0.00,0.00,3.50,4.80,21.60
Electrical and electronics engineering technicians,17-3023,Line item,139.40,136.60,0.10,0.10,-2.80,-2.00,34.10
Electro-mechanical technicians,17-3024,Line item,14.70,14.80,0.00,0.00,0.10,0.70,3.70
Environmental engineering technicians,17-3025,Line item,18.60,20.40,0.00,0.00,1.90,10.00,6.40
Industrial engineering technicians,17-3026,Line item,66.50,63.50,0.00,0.00,-3.00,-4.50,16.30
Mechanical engineering technicians,17-3027,Line item,48.40,49.30,0.00,0.00,0.90,2.00,12.80
"Engineering technicians, except drafters, all other",17-3029,Line item,70.10,69.90,0.00,0.00,-0.20,-0.20,17.10
Surveying and mapping technicians,17-3031,Line item,57.30,52.90,0.00,0.00,-4.30,-7.60,6.50
"Life, physical, and social science occupations",19-0000,Summary,1310.40,1408.00,0.90,0.90,97.60,7.40,472.60
Life scientists,19-1000,Summary,310.90,330.00,0.20,0.20,19.10,6.10,116.60
Agricultural and food scientists,19-1010,Summary,36.10,38.00,0.00,0.00,1.90,5.40,14.50
Animal scientists,19-1011,Line item,2.90,3.20,0.00,0.00,0.20,7.30,1.20
Food scientists and technologists,19-1012,Line item,15.40,16.00,0.00,0.00,0.50,3.50,5.90
Soil and plant scientists,19-1013,Line item,17.70,18.90,0.00,0.00,1.20,6.70,7.30
Biological scientists,19-1020,Summary,114.10,118.40,0.10,0.10,4.30,3.70,35.00
Biochemists and biophysicists,19-1021,Line item,34.10,36.90,0.00,0.00,2.80,8.20,11.90
Microbiologists,19-1022,Line item,22.40,23.20,0.00,0.00,0.80,3.50,6.80
Zoologists and wildlife biologists,19-1023,Line item,21.30,22.20,0.00,0.00,0.80,4.00,6.60
"Biological scientists, all other",19-1029,Line item,36.40,36.20,0.00,0.00,-0.20,-0.40,9.70
Conservation scientists and foresters,19-1030,Summary,36.50,39.30,0.00,0.00,2.70,7.50,18.70
Conservation scientists,19-1031,Line item,21.10,22.50,0.00,0.00,1.40,6.90,10.60
Foresters,19-1032,Line item,15.50,16.80,0.00,0.00,1.30,8.30,8.00
Medical scientists,19-1040,Summary,113.60,123.00,0.10,0.10,9.30,8.20,44.50
Epidemiologists,19-1041,Line item,5.80,6.10,0.00,0.00,0.40,6.30,2.20
"Medical scientists, except epidemiologists",19-1042,Line item,107.90,116.80,0.10,0.10,9.00,8.30,42.40
"Life scientists, all other",19-1099,Line item,10.60,11.30,0.00,0.00,0.80,7.20,4.00
Physical scientists,19-2000,Summary,296.80,316.60,0.20,0.20,19.90,6.70,92.70
Astronomers and physicists,19-2010,Summary,20.00,21.40,0.00,0.00,1.50,7.40,5.30
Astronomers,19-2011,Line item,1.90,1.90,0.00,0.00,0.10,2.80,0.40
Physicists,19-2012,Line item,18.10,19.50,0.00,0.00,1.40,7.90,4.90
Atmospheric and space scientists,19-2021,Line item,11.80,12.90,0.00,0.00,1.10,9.20,3.30
Chemists and materials scientists,19-2030,Summary,98.40,101.00,0.10,0.10,2.60,2.60,24.20
Chemists,19-2031,Line item,91.10,93.50,0.10,0.10,2.40,2.60,22.40
Materials scientists,19-2032,Line item,7.30,7.50,0.00,0.00,0.20,2.70,1.80
Environmental scientists and geoscientists,19-2040,Summary,138.00,152.50,0.10,0.10,14.50,10.50,56.90
"Environmental scientists and specialists, including health",19-2041,Line item,94.60,104.80,0.10,0.10,10.20,10.70,39.30
"Geoscientists, except hydrologists and geographers",19-2042,Line item,36.40,40.20,0.00,0.00,3.80,10.50,15.00
Hydrologists,19-2043,Line item,7.00,7.50,0.00,0.00,0.50,6.90,2.60
"Physical scientists, all other",19-2099,Line item,28.50,28.80,0.00,0.00,0.30,1.00,3.00
Social scientists and related workers,19-3000,Summary,307.10,344.70,0.20,0.20,37.50,12.20,97.20
Economists,19-3011,Line item,21.50,22.70,0.00,0.00,1.20,5.70,7.00
Survey researchers,19-3022,Line item,16.70,18.70,0.00,0.00,1.90,11.60,3.90
Psychologists,19-3030,Summary,173.90,206.40,0.10,0.10,32.50,18.70,69.80
"Clinical, counseling, and school psychologists",19-3031,Line item,155.30,185.90,0.10,0.10,30.50,19.60,63.80
Industrial-organizational psychologists,19-3032,Line item,2.00,2.30,0.00,0.00,0.40,19.10,0.80
"Psychologists, all other",19-3039,Line item,16.60,18.30,0.00,0.00,1.60,9.80,5.20
Sociologists,19-3041,Line item,2.60,2.50,0.00,0.00,0.00,-0.70,0.30
Urban and regional planners,19-3051,Line item,38.00,40.40,0.00,0.00,2.40,6.30,9.40
Miscellaneous social scientists and related workers,19-3090,Summary,54.40,53.90,0.00,0.00,-0.50,-1.00,6.80
Anthropologists and archeologists,19-3091,Line item,7.70,8.00,0.00,0.00,0.30,3.80,1.20
Geographers,19-3092,Line item,1.40,1.40,0.00,0.00,0.00,-1.60,0.20
Historians,19-3093,Line item,3.50,3.50,0.00,0.00,0.10,1.70,0.50
Political scientists,19-3094,Line item,6.20,6.00,0.00,0.00,-0.10,-2.30,0.70
"Social scientists and related workers, all other",19-3099,Line item,35.60,34.90,0.00,0.00,-0.70,-2.00,4.20
"Life, physical, and social science technicians",19-4000,Summary,395.60,416.70,0.30,0.30,21.10,5.30,166.10
Agricultural and food science technicians,19-4011,Line item,33.00,34.70,0.00,0.00,1.60,4.90,12.40
Biological technicians,19-4021,Line item,79.30,83.50,0.10,0.10,4.10,5.20,26.30
Chemical technicians,19-4031,Line item,66.50,67.70,0.00,0.00,1.20,1.90,21.10
Geological and petroleum technicians,19-4041,Line item,16.50,18.50,0.00,0.00,1.90,11.80,8.00
Nuclear technicians,19-4051,Line item,6.80,6.40,0.00,0.00,-0.30,-5.10,2.80
Social science research assistants,19-4061,Line item,32.00,33.80,0.00,0.00,1.80,5.60,15.20
"Miscellaneous life, physical, and social science technicians",19-4090,Summary,161.40,172.20,0.10,0.10,10.70,6.60,80.20
"Environmental science and protection technicians, including health",19-4091,Line item,36.20,39.60,0.00,0.00,3.40,9.50,18.60
Forensic science technicians,19-4092,Line item,14.40,18.20,0.00,0.00,3.80,26.60,9.90
Forest and conservation technicians,19-4093,Line item,32.60,30.80,0.00,0.00,-1.90,-5.70,13.70
"Life, physical, and social science technicians, all other",19-4099,Line item,78.20,83.50,0.10,0.10,5.30,6.80,38.10
Community and social service occupations,21-0000,Summary,2465.70,2723.40,1.60,1.70,257.70,10.50,792.60
"Counselors, social workers, and other community and social service specialists",21-1000,Summary,2033.70,2269.40,1.40,1.40,235.70,11.60,672.60
Counselors,21-1010,Summary,687.60,777.00,0.50,0.50,89.30,13.00,233.20
Substance abuse and behavioral disorder counselors,21-1011,Line item,94.90,116.20,0.10,0.10,21.20,22.30,41.10
"Educational, guidance, school, and vocational counselors",21-1012,Line item,273.40,295.90,0.20,0.20,22.50,8.20,79.70
Marriage and family therapists,21-1013,Line item,33.70,38.70,0.00,0.00,5.00,14.80,12.10
Mental health counselors,21-1014,Line item,134.50,160.90,0.10,0.10,26.40,19.60,54.50
Rehabilitation counselors,21-1015,Line item,120.10,130.90,0.10,0.10,10.80,9.00,36.00
"Counselors, all other",21-1019,Line item,31.00,34.40,0.00,0.00,3.40,11.00,9.90
Social workers,21-1020,Summary,649.30,724.10,0.40,0.50,74.80,11.50,231.20
"Child, family, and school social workers",21-1021,Line item,305.20,324.20,0.20,0.20,19.00,6.20,92.50
Healthcare social workers,21-1022,Line item,160.10,191.00,0.10,0.10,30.90,19.30,69.50
Mental health and substance abuse social workers,21-1023,Line item,117.80,140.00,0.10,0.10,22.30,18.90,50.70
"Social workers, all other",21-1029,Line item,66.40,68.90,0.00,0.00,2.50,3.80,18.50
Miscellaneous community and social service specialists,21-1090,Summary,696.80,768.30,0.50,0.50,71.60,10.30,208.20
Health educators,21-1091,Line item,61.40,68.90,0.00,0.00,7.50,12.20,19.50
Probation officers and correctional treatment specialists,21-1092,Line item,91.70,95.00,0.10,0.10,3.30,3.60,21.30
Social and human service assistants,21-1093,Line item,386.60,430.80,0.30,0.30,44.20,11.40,120.00
Community health workers,21-1094,Line item,54.30,62.40,0.00,0.00,8.10,14.90,18.80
"Community and social service specialists, all other",21-1099,Line item,102.70,111.10,0.10,0.10,8.40,8.20,28.60
Religious workers,21-2000,Summary,432.00,454.00,0.30,0.30,22.00,5.10,120.00
Clergy,21-2011,Line item,244.20,258.00,0.20,0.20,13.80,5.60,66.30
"Directors, religious activities and education",21-2021,Line item,131.90,137.50,0.10,0.10,5.70,4.30,41.20
"Religious workers, all other",21-2099,Line item,55.90,58.50,0.00,0.00,2.60,4.70,12.50
Legal occupations,23-0000,Summary,1268.20,1332.80,0.80,0.80,64.60,5.10,283.80
"Lawyers, judges, and related workers",23-1000,Summary,844.20,887.70,0.60,0.60,43.50,5.10,169.10
Lawyers and judicial law clerks,23-1010,Summary,791.10,834.10,0.50,0.50,43.10,5.40,160.40
Lawyers,23-1011,Line item,778.70,822.50,0.50,0.50,43.80,5.60,157.70
Judicial law clerks,23-1012,Line item,12.40,11.60,0.00,0.00,-0.80,-6.30,2.70
"Judges, magistrates, and other judicial workers",23-1020,Summary,53.20,53.60,0.00,0.00,0.40,0.70,8.70
"Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,15.00,14.50,0.00,0.00,-0.50,-3.60,2.20
"Arbitrators, mediators, and conciliators",23-1022,Line item,8.40,9.20,0.00,0.00,0.80,9.20,2.00
"Judges, magistrate judges, and magistrates",23-1023,Line item,29.70,29.90,0.00,0.00,0.20,0.60,4.50
Legal support workers,23-2000,Summary,424.00,445.10,0.30,0.30,21.10,5.00,114.70
Paralegals and legal assistants,23-2011,Line item,279.50,300.80,0.20,0.20,21.20,7.60,82.70
Miscellaneous legal support workers,23-2090,Summary,144.40,144.30,0.10,0.10,-0.10,-0.10,32.10
Court reporters,23-2091,Line item,20.80,21.10,0.00,0.00,0.30,1.50,4.90
"Title examiners, abstractors, and searchers",23-2093,Line item,71.10,70.80,0.00,0.00,-0.20,-0.30,15.60
"Legal support workers, all other",23-2099,Line item,52.60,52.40,0.00,0.00,-0.20,-0.40,11.60
"Education, training, and library occupations",25-0000,Summary,9216.10,9913.70,6.10,6.20,697.60,7.60,2661.10
Postsecondary teachers,25-1000,Summary,1869.40,2088.80,1.20,1.30,219.40,11.70,550.60
"Business teachers, postsecondary",25-1011,Line item,106.80,116.20,0.10,0.10,9.40,8.80,28.30
"Math and computer teachers, postsecondary",25-1020,Summary,106.90,121.10,0.10,0.10,14.20,13.30,33.10
"Computer science teachers, postsecondary",25-1021,Line item,43.40,47.20,0.00,0.00,3.80,8.70,11.50
"Mathematical science teachers, postsecondary",25-1022,Line item,63.50,73.90,0.00,0.00,10.40,16.40,21.70
"Engineering and architecture teachers, postsecondary",25-1030,Summary,55.00,61.90,0.00,0.00,6.90,12.50,16.60
"Architecture teachers, postsecondary",25-1031,Line item,9.10,9.90,0.00,0.00,0.80,9.40,2.50
"Engineering teachers, postsecondary",25-1032,Line item,46.00,52.00,0.00,0.00,6.00,13.20,14.20
"Life sciences teachers, postsecondary",25-1040,Summary,78.70,90.00,0.10,0.10,11.30,14.40,25.30
"Agricultural sciences teachers, postsecondary",25-1041,Line item,12.10,12.80,0.00,0.00,0.70,6.00,2.90
"Biological science teachers, postsecondary",25-1042,Line item,64.30,74.80,0.00,0.00,10.40,16.20,21.80
"Forestry and conservation science teachers, postsecondary",25-1043,Line item,2.30,2.40,0.00,0.00,0.20,6.80,0.60
"Physical sciences teachers, postsecondary",25-1050,Summary,64.20,72.70,0.00,0.00,8.50,13.20,19.80
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,13.20,14.30,0.00,0.00,1.10,8.70,3.50
"Chemistry teachers, postsecondary",25-1052,Line item,26.60,30.70,0.00,0.00,4.10,15.40,8.80
"Environmental science teachers, postsecondary",25-1053,Line item,6.70,7.30,0.00,0.00,0.60,8.60,1.80
"Physics teachers, postsecondary",25-1054,Line item,17.70,20.40,0.00,0.00,2.70,15.00,5.80
"Social sciences teachers, postsecondary",25-1060,Summary,144.20,163.70,0.10,0.10,19.50,13.50,45.00
"Anthropology and archeology teachers, postsecondary",25-1061,Line item,7.50,8.20,0.00,0.00,0.70,9.30,2.00
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,11.60,13.30,0.00,0.00,1.70,15.10,3.80
"Economics teachers, postsecondary",25-1063,Line item,17.30,18.90,0.00,0.00,1.70,9.70,4.70
"Geography teachers, postsecondary",25-1064,Line item,5.40,5.90,0.00,0.00,0.40,7.90,1.40
"Political science teachers, postsecondary",25-1065,Line item,21.60,23.70,0.00,0.00,2.10,9.70,5.90
"Psychology teachers, postsecondary",25-1066,Line item,47.30,54.70,0.00,0.00,7.50,15.80,15.80
"Sociology teachers, postsecondary",25-1067,Line item,20.70,23.90,0.00,0.00,3.20,15.30,6.80
"Social sciences teachers, postsecondary, all other",25-1069,Line item,12.90,15.10,0.00,0.00,2.20,17.00,4.50
"Health teachers, postsecondary",25-1070,Summary,279.00,332.20,0.20,0.20,53.20,19.10,102.60
"Health specialties teachers, postsecondary",25-1071,Line item,210.40,250.40,0.10,0.20,40.00,19.00,77.20
"Nursing instructors and teachers, postsecondary",25-1072,Line item,68.60,81.80,0.00,0.10,13.20,19.30,25.40
"Education and library science teachers, postsecondary",25-1080,Summary,81.30,88.60,0.10,0.10,7.30,9.00,21.70
"Education teachers, postsecondary",25-1081,Line item,75.70,82.50,0.10,0.10,6.90,9.10,20.30
"Library science teachers, postsecondary",25-1082,Line item,5.60,6.00,0.00,0.00,0.40,8.00,1.40
